"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"_BinkOpenWaveOut@4","External[0036f9b8]","External Data","","","","_BinkOpenWaveOut@4"
"_BinkSetSoundSystem@8","External[0036f9ce]","External Function","0","BINKW32.DLL::_BinkSetSoundSystem@8","undefined","undefined _BinkSetSoundSystem@8()"
"_BinkOpenDirectSound@4","External[0036f9e6]","External Data","","","","_BinkOpenDirectSound@4"
"_BinkSetMemory@8","External[0036fa00]","External Function","0","BINKW32.DLL::_BinkSetMemory@8","undefined","undefined _BinkSetMemory@8()"
"_BinkClose@4","External[0036fa14]","External Function","0","BINKW32.DLL::_BinkClose@4","undefined","undefined _BinkClose@4()"
"_BinkOpen@8","External[0036fa24]","External Function","0","BINKW32.DLL::_BinkOpen@8","undefined","undefined _BinkOpen@8()"
"_BinkNextFrame@4","External[0036fa32]","External Function","0","BINKW32.DLL::_BinkNextFrame@4","undefined","undefined _BinkNextFrame@4()"
"_BinkCopyToBuffer@28","External[0036fa46]","External Function","0","BINKW32.DLL::_BinkCopyToBuffer@28","undefined","undefined _BinkCopyToBuffer@28()"
"_BinkDoFrame@4","External[0036fa5e]","External Function","0","BINKW32.DLL::_BinkDoFrame@4","undefined","undefined _BinkDoFrame@4()"
"_BinkWait@4","External[0036fa70]","External Function","0","BINKW32.DLL::_BinkWait@4","undefined","undefined _BinkWait@4()"
"_BinkSetSoundOnOff@8","External[0036fa7e]","External Function","0","BINKW32.DLL::_BinkSetSoundOnOff@8","undefined","undefined _BinkSetSoundOnOff@8()"
"_BinkPause@8","External[0036fa96]","External Function","0","BINKW32.DLL::_BinkPause@8","undefined","undefined _BinkPause@8()"
"_FSOUND_Stream_Close@4","External[0036fab2]","External Function","0","FMOD.DLL::_FSOUND_Stream_Close@4","undefined","undefined _FSOUND_Stream_Close@4()"
"_FSOUND_Stream_Stop@4","External[0036facc]","External Function","0","FMOD.DLL::_FSOUND_Stream_Stop@4","undefined","undefined _FSOUND_Stream_Stop@4()"
"_FSOUND_Stream_GetOpenState@4","External[0036fae4]","External Function","0","FMOD.DLL::_FSOUND_Stream_GetOpenState@4","undefined","undefined _FSOUND_Stream_GetOpenState@4()"
"_FSOUND_GetSubChannel@8","External[0036fb04]","External Function","0","FMOD.DLL::_FSOUND_GetSubChannel@8","undefined","undefined _FSOUND_GetSubChannel@8()"
"_FSOUND_SetReserved@8","External[0036fb1e]","External Function","2","FMOD.DLL::_FSOUND_SetReserved@8","undefined","undefined _FSOUND_SetReserved@8(void * param_1\, bool param_2)"
"FSOUND_CD_SetPaused","External[0036fb36]","External Function","2","FMOD.DLL::FSOUND_CD_SetPaused","undefined","undefined FSOUND_CD_SetPaused(char drive\, char paused)"
"_FSOUND_Stream_Open@16","External[0036fb4c]","External Function","4","FMOD.DLL::_FSOUND_Stream_Open@16","undefined","undefined _FSOUND_Stream_Open@16(char * param_1\, uint param_2\, int param_3\, int param_4)"
"_FSOUND_Stream_SetBufferSize@4","External[0036fb66]","External Function","1","FMOD.DLL::_FSOUND_Stream_SetBufferSize@4","undefined","undefined _FSOUND_Stream_SetBufferSize@4(int param_1)"
"_FSOUND_SetVolume@8","External[0036fb88]","External Function","2","FMOD.DLL::_FSOUND_SetVolume@8","undefined","undefined _FSOUND_SetVolume@8(int channel\, int vol)"
"_FSOUND_SetPan@8","External[0036fb9e]","External Function","2","FMOD.DLL::_FSOUND_SetPan@8","undefined","undefined _FSOUND_SetPan@8(int channel\, int pan)"
"_FSOUND_GetNumSubChannels@4","External[0036fbb2]","External Function","0","FMOD.DLL::_FSOUND_GetNumSubChannels@4","undefined","undefined _FSOUND_GetNumSubChannels@4()"
"_FSOUND_Stream_PlayEx@16","External[0036fbd0]","External Function","0","FMOD.DLL::_FSOUND_Stream_PlayEx@16","undefined","undefined _FSOUND_Stream_PlayEx@16()"
